#Job;#Precedenze;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
3;2;290;290;0;290;0;0.000999689;0
4;3;486;486;0;486;0;0.004091978;0
5;5;740;740;0;740;0;0;0
6;8;1017;1017;0;1017;0;0.004985332;0
7;11;1442;1442;0;1442;0;0.004719019;0
8;14;1761;1761;0;1761;0;0.006961823;0.000997305
9;18;2331;2331;0;2331;0;0.003768444;0
10;23;2554;2554;0;2554;0;0.004408836;0.000997066
11;28;3260;3260;0;3260;0;0;0
12;33;3593;3593;0;3593;0;0.016584158;0.004371166
13;39;4194;4194;0;4194;0;0.030742884;0.003646135
14;46;5493;5493;0;5493;0;0.039984941;0.002623081
15;53;6085;6085;0;6085;0;0.016198874;0
16;60;6767;6767;0;6767;0;0.015407562;0.00143671
17;68;8100;8100;0;8100;0;0.13632369;0.028843641
18;77;8872;8872;0;8872;0;0.012491465;0.002093315
19;86;9563;9563;0;9563;0;0.051084757;0.004255056
20;95;10136;10136;0;10136;0;0.100732565;0.030513287
21;105;11705;11705;0;11705;0;0.047077894;0.00175786
22;116;12910;12910;0;12910;0;0.069697618;0.020519733
23;127;12744;12744;0;12744;0;0.054110527;0.004596233
24;138;15191;15191;0;15191;0;0.08898592;0.018335342
25;150;16377;16377;0;16377;0;0.072994471;0.006314516
26;163;16745;16745;0;16745;0;0.116226196;0.02194643
27;176;19146;19146;0;19146;0;0.101421356;0.018374681
28;189;20746;20746;0;20746;0;0.070518255;0.009016752
29;203;21748;21748;0;21748;0;0.116734505;0.027468443
30;218;21890;21890;0;21890;0;0.137233734;0.085850477
31;233;25002;25002;0;25002;0;0.109701633;0.011026382
32;248;25865;25865;0;25865;0;0.155232191;0.159338951
33;264;28839;28839;0;28839;0;0.134138346;0.035503626
34;281;29530;29530;0;29530;0;0.175925732;0.070747375
35;298;30860;30860;0;30860;0;0.169915438;0.092259884
36;315;33431;33431;0;33431;0;0.17992568;0.254349709
37;333;35607;35607;0;35607;0;0.209516287;0.198838711
38;352;36791;36791;0;36791;0;0.299023628;0.265825033
39;371;39409;39409;0;39409;0;0.364336252;0.617391586
