sep=;
#Job;#Precedenze;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;3;1829;1829;0;1829;0;0.121985912;0.003627777
8;3;1023;1023;0;1023;0;0.260989666;0.159749031
8;3;2154;2154;0;2154;0;0.448093176;0.067238092
8;3;1557;1557;0;1557;0;0.127780676;0.001908064
8;3;2310;2310;0;2310;0;0.505429983;0.245708942
8;3;1708;1708;0;1708;0;0.334619761;0.082927465
8;3;981;981;0;981;0;0.186951637;0.09073782
8;3;1619;1619;0;1619;0;0.223577499;0.03530097
8;3;1135;1135;0;1135;0;0.209544897;0.048799753
8;3;1403;1403;0;1403;0;0.387232542;0.180214405
8;3;1891;1891;0;1891;0;0.415829182;0.052558661
8;3;1092;1092;0;1092;0;0.130836248;0.002990961
8;3;1265;1265;0;1265;0;0.075744629;0.003574133
8;3;1195;1195;0;1195;0;0.197082043;0.031395912
8;3;1602;1602;0;1602;0;0.157703876;0.092036963
8;3;1008;1008;0;1008;0;0.186937571;0.042014599
8;3;1598;1598;0;1598;0;0.420226812;0.144706011
8;3;1349;1349;0;1349;0;0.107515574;0.009926319
8;3;870;870;0;870;0;0.033120871;0.007044077
8;3;1785;1785;0;1785;0;0.201455355;0.040911198
8;3;1079;1079;0;1079;0;0.035100698;0.000993013
8;3;1945;1945;0;1945;0;0.571464539;0.423908234
8;3;1353;1353;0;1353;0;0.173399925;0.005990267
8;3;757;757;0;757;0;0.167067766;0.013863564
8;3;615;615;0;615;0;0.200759888;0.072492361
8;3;1488;1488;0;1488;0;0.226479053;0.004420042
8;3;1627;1627;0;1627;0;0.213680267;0.075610638
8;3;1265;1265;0;1265;0;0.158838987;0.034591913
8;3;1740;1740;0;1740;0;0.305358648;0.0782938
8;3;1107;1107;0;1107;0;0.1542449;0.016673803
8;3;1080;1080;0;1080;0;0.318716288;0.028933525
8;3;978;978;0;978;0;0.374389172;0.07682085
8;3;1782;1782;0;1782;0;0.330091953;0.050332308
8;3;1610;1610;0;1610;0;0.316041231;0.230952501
8;3;1743;1743;0;1743;0;0.210766077;0.030702591
8;3;1455;1455;0;1455;0;0.306762934;0.007104874
8;3;1836;1836;0;1836;0;0.355145216;0.040672779
8;3;943;943;0;943;0;0.047055483;0.002994537
8;3;1460;1460;0;1460;0;0.211193085;0.021038294
8;3;2032;2032;0;2032;0;0.374761343;0.070373535
8;3;1495;1495;0;1495;0;0.207011223;0.045297623
8;3;709;709;0;709;0;0.074738026;0.001016855
8;3;622;622;0;622;0;0.281932592;0.026649714
8;3;1133;1133;0;1133;0;0.053193808;0.000997066
8;3;1605;1605;0;1605;0;0.116277456;0.002423525
8;3;900;900;0;900;0;0.100658894;0.022483587
8;3;1250;1250;0;1250;0;0.205556631;0.099551678
8;3;2375;2375;0;2375;0;0.427316904;0.021704197
8;3;1376;1376;0;1376;0;0.184145451;0.009263754
8;3;1568;1568;0;1568;0;0.345607042;0.12239027
8;3;1590;1590;0;1590;0;0.366981983;0.042149067
8;3;1730;1730;0;1730;0;0.403982401;0.20560813
8;3;1813;1813;0;1813;0;0.30187726;0.020742655
8;3;1089;1089;0;1089;0;0.189085722;0.027805567
8;3;1087;1087;0;1087;0;0.205336571;0.03161788
8;3;1376;1376;0;1376;0;0.204249859;0.06447053
8;3;1242;1242;0;1242;0;0.267605066;0.053241968
8;3;1761;1761;0;1761;0;0.1302917;0.025171757
8;3;1192;1192;0;1192;0;0.147835016;0.044579029
8;3;868;868;0;868;0;0.027532101;0.000997066
8;3;902;902;0;902;0;0.120739698;0.021091938
8;3;966;966;0;966;0;0.014009476;0.005666256
8;3;1635;1635;0;1635;0;0.082487822;0.00202775
8;3;1215;1215;0;1215;0;0.115043879;0.042213917
8;3;1152;1152;0;1152;0;0.094314098;0.010078907
8;3;1813;1813;0;1813;0;0.193801165;0.097965717
8;3;1307;1307;0;1307;0;0.06560111;0.002042055
8;3;1107;1107;0;1107;0;0.084851742;0.017169952
8;3;1202;1202;0;1202;0;0.103873253;0.024296761
8;3;2015;2015;0;2015;0;0.19113946;0.063715458
8;3;815;815;0;815;0;0.076239109;0.002964973
8;3;1419;1419;0;1419;0;0.053960085;0.001036167
8;3;1458;1458;0;1458;0;0.097480536;0.026626587
8;3;1146;1146;0;1146;0;0.117306232;0.018169403
8;3;1478;1478;0;1478;0;0.14090538;0.018076181
8;3;1908;1908;0;1908;0;0.06022954;0.001031399
8;3;1567;1567;0;1567;0;0.11501956;0.019670486
8;3;1236;1236;0;1236;0;0.032034397;0.001994133
8;3;790;790;0;790;0;0.017364979;0.000998497
8;3;2391;2391;0;2391;0;0.165837049;0.012829781
8;3;934;934;0;934;0;0.020817518;0.001030922
8;3;1327;1327;0;1327;0;0.034929752;0.001994848
8;3;1453;1453;0;1453;0;0.072207928;0.011296749
8;3;1647;1647;0;1647;0;0.05314064;0.002035379
8;3;1888;1888;0;1888;0;0.12743926;0.047782183
8;3;1878;1878;0;1878;0;0.160768032;0.034051895
8;3;1523;1523;0;1523;0;0.076348305;0.010147572
8;3;1325;1325;0;1325;0;0.12264967;0.017158031
8;3;1220;1220;0;1220;0;0.145760059;0.058054686
8;3;1271;1271;0;1271;0;0.091290474;0.021497726
8;3;1569;1569;0;1569;0;0.093334198;0.017197847
8;3;1821;1821;0;1821;0;0.116746426;0.008544683
8;3;1782;1782;0;1782;0;0.107247829;0.01803875
8;3;527;527;0;527;0;0.061540127;0.008910179
8;3;1374;1374;0;1374;0;0.062706947;0.011450052
8;3;1476;1476;0;1476;0;0.061145306;0.000996113
8;3;1165;1165;0;1165;0;0.089178085;0.016694069
8;3;1666;1666;0;1666;0;0.204440355;0.042179108
8;3;1344;1344;0;1344;0;0.066809416;0.000995874
8;3;1364;1364;0;1364;0;0.076417685;0
