#Job;#Precedenze;Lista mu;Risultato PLI;Bound PLI;Gap PLI;Risultato BB;Gap BB;Tempo PLI;Tempo BB
8;4;[0.5, 0.5, 0.5, 0.5];1653;1653;0;1653;0;0.143129587;0.067061901
8;4;[0.5, 0.5, 0.5, 0.5];1768;1768;0;1768;0;0.13612318;0.042038202
8;4;[0.5, 0.5, 0.5, 0.5];1725;1725;0;1725;0;0.143129587;0.058053493
8;4;[0.5, 0.5, 0.5, 0.5];1646;1646;0;1646;0;0.166150331;0.088079691
8;4;[0.5, 0.5, 0.5, 0.5];1684;1684;0;1684;0;0.127115488;0.042037725
8;4;[0.5, 0.5, 0.5, 0.5];1708;1708;0;1708;0;0.142129183;0.065059185
8;4;[0.5, 0.5, 0.5, 0.5];1802;1802;0;1802;0;0.260236502;0.117106915
8;4;[0.5, 0.5, 0.5, 0.5];1845;1845;0;1845;0;0.121110201;0.057052374
8;4;[0.5, 0.5, 0.5, 0.5];1758;1758;0;1758;0;0.119107008;0.045041561
8;4;[0.5, 0.5, 0.5, 0.5];1810;1810;0;1810;0;0.109099627;0.025022745
8;4;[0.5, 0.5, 0.5, 0.5];1695;1695;0;1695;0;0.135122538;0.059054375
8;4;[0.5, 0.5, 0.5, 0.5];1672;1672;0;1672;0;0.107097149;0.02302146
8;4;[0.5, 0.5, 0.5, 0.5];1804;1804;0;1804;0;0.195177317;0.087079287
8;4;[0.5, 0.5, 0.5, 0.5];1601;1601;0;1601;0;0.119107723;0.024021626
8;4;[0.5, 0.5, 0.5, 0.5];1815;1815;0;1815;0;0.272247314;0.11610651
8;4;[0.5, 0.5, 0.5, 0.5];1769;1769;0;1769;0;0.178682327;0.061055899
8;4;[0.5, 0.5, 0.5, 0.5];1601;1601;0;1601;0;0.202183247;0.076071501
8;4;[0.5, 0.5, 0.5, 0.5];1777;1777;0;1777;0;0.241219044;0.097088814
8;4;[0.5, 0.5, 0.5, 0.5];1699;1699;0;1699;0;0.11510396;0.035032272
8;4;[0.5, 0.5, 0.5, 0.5];1805;1805;0;1805;0;0.198179483;0.057051182
8;4;[0.5, 0.5, 0.5, 0.5];1839;1839;0;1839;0;0.084076166;0.020019054
8;4;[0.5, 0.5, 0.5, 0.5];1642;1642;0;1642;0;0.199180841;0.102094173
8;4;[0.5, 0.5, 0.5, 0.5];1697;1697;0;1697;0;0.261236429;0.13111949
8;4;[0.5, 0.5, 0.5, 0.5];1753;1753;0;1753;0;0.146131992;0.060055017
8;4;[0.5, 0.5, 0.5, 0.5];1652;1652;0;1652;0;0.212193012;0.097088575
8;4;[0.5, 0.5, 0.5, 0.5];1809;1809;0;1809;0;0.08707881;0.021019459
8;4;[0.5, 0.5, 0.5, 0.5];1613;1613;0;1613;0;0.116105318;0.040037155
8;4;[0.5, 0.5, 0.5, 0.5];1733;1733;0;1733;0;0.233715534;0.134122372
8;4;[0.5, 0.5, 0.5, 0.5];1886;1886;0;1886;0;0.084075928;0.021019459
8;4;[0.5, 0.5, 0.5, 0.5];1706;1706;0;1706;0;0.213809967;0.11510396
8;4;[0.5, 0.5, 0.5, 0.5];1742;1742;0;1742;0;0.152137756;0.052048206
8;4;[0.5, 0.5, 0.5, 0.5];1866;1866;0;1866;0;0.173157215;0.083075523
8;4;[0.5, 0.5, 0.5, 0.5];1748;1748;0;1748;0;0.123111963;0.03903532
8;4;[0.5, 0.5, 0.5, 0.5];1633;1633;0;1633;0;0.105095148;0.038034201
8;4;[0.5, 0.5, 0.5, 0.5];1754;1754;0;1754;0;0.13812542;0.040036917
8;4;[0.5, 0.5, 0.5, 0.5];1667;1667;0;1667;0;0.152138233;0.093351841
8;4;[0.5, 0.5, 0.5, 0.5];1803;1803;0;1803;0;0.107097149;0.025023222
8;4;[0.5, 0.5, 0.5, 0.5];1660;1660;0;1660;0;0.090081453;0.020017862
8;4;[0.5, 0.5, 0.5, 0.5];1820;1820;0;1820;0;0.091810942;0.028025389
8;4;[0.5, 0.5, 0.5, 0.5];1652;1652;0;1652;0;0.218198061;0.099090099
8;4;[0.5, 0.5, 0.5, 0.5];1650;1650;0;1650;0;0.114103556;0.039036274
8;4;[0.5, 0.5, 0.5, 0.5];1762;1762;0;1762;0;0.117106438;0.037032843
8;4;[0.5, 0.5, 0.5, 0.5];1542;1542;0;1542;0;0.18716979;0.066061258
8;4;[0.5, 0.5, 0.5, 0.5];1719;1719;0;1719;0;0.150135994;0.08207345
8;4;[0.5, 0.5, 0.5, 0.5];1637;1637;0;1637;0;0.092083693;0.01901722
8;4;[0.5, 0.5, 0.5, 0.5];1896;1896;0;1896;0;0.139126539;0.069063425
8;4;[0.5, 0.5, 0.5, 0.5];1761;1761;0;1761;0;0.150136948;0.058052778
8;4;[0.5, 0.5, 0.5, 0.5];1765;1765;0;1765;0;0.146132708;0.065058708
8;4;[0.5, 0.5, 0.5, 0.5];1838;1838;0;1838;0;0.152137995;0.039035082
8;4;[0.5, 0.5, 0.5, 0.5];1720;1720;0;1720;0;0.109099388;0.026023388
8;4;[0.5, 0.5, 0.5, 0.5];1776;1776;0;1776;0;0.163148165;0.060055494
8;4;[0.5, 0.5, 0.5, 0.5];1797;1797;0;1797;0;0.136123657;0.041037321
8;4;[0.5, 0.5, 0.5, 0.5];1655;1655;0;1655;0;0.120109558;0.057051897
8;4;[0.5, 0.5, 0.5, 0.5];1769;1769;0;1769;0;0.217197657;0.103092909
8;4;[0.5, 0.5, 0.5, 0.5];1660;1660;0;1660;0;0.183166504;0.087079763
8;4;[0.5, 0.5, 0.5, 0.5];1679;1679;0;1679;0;0.094084978;0.026024342
8;4;[0.5, 0.5, 0.5, 0.5];1850;1850;0;1850;0;0.132119179;0.059054375
8;4;[0.5, 0.5, 0.5, 0.5];1679;1679;0;1679;0;0.152138233;0.06205678
8;4;[0.5, 0.5, 0.5, 0.5];1746;1746;0;1746;0;0.19517684;0.095087051
8;4;[0.5, 0.5, 0.5, 0.5];1784;1784;0;1784;0;0.137123823;0.063057899
8;4;[0.5, 0.5, 0.5, 0.5];1755;1755;0;1755;0;0.166150093;0.074068308
8;4;[0.5, 0.5, 0.5, 0.5];1822;1822;0;1822;0;0.197179794;0.094085693
8;4;[0.5, 0.5, 0.5, 0.5];1543;1543;0;1543;0;0.190172911;0.087079048
8;4;[0.5, 0.5, 0.5, 0.5];1690;1690;0;1690;0;0.198249578;0.073067188
8;4;[0.5, 0.5, 0.5, 0.5];1732;1732;0;1732;0;0.114103317;0.038034439
8;4;[0.5, 0.5, 0.5, 0.5];1621;1621;0;1621;0;0.099089384;0.018016577
8;4;[0.5, 0.5, 0.5, 0.5];1787;1787;0;1787;0;0.158143997;0.06205678
8;4;[0.5, 0.5, 0.5, 0.5];1792;1792;0;1792;0;0.14513135;0.0650599
8;4;[0.5, 0.5, 0.5, 0.5];1862;1862;0;1862;0;0.087079048;0.018016338
8;4;[0.5, 0.5, 0.5, 0.5];1817;1817;0;1817;0;0.129116774;0.038035154
8;4;[0.5, 0.5, 0.5, 0.5];1833;1833;0;1833;0;0.164149284;0.07206583
8;4;[0.5, 0.5, 0.5, 0.5];1767;1767;0;1767;0;0.113102198;0.042038679
8;4;[0.5, 0.5, 0.5, 0.5];1857;1857;0;1857;0;0.27024579;0.14112854
8;4;[0.5, 0.5, 0.5, 0.5];1811;1811;0;1811;0;0.317793131;0.15114069
8;4;[0.5, 0.5, 0.5, 0.5];1680;1680;0;1680;0;0.094088554;0.023582935
8;4;[0.5, 0.5, 0.5, 0.5];1758;1758;0;1758;0;0.160145521;0.060054541
8;4;[0.5, 0.5, 0.5, 0.5];1743;1743;0;1743;0;0.151137829;0.074067593
8;4;[0.5, 0.5, 0.5, 0.5];1737;1737;0;1737;0;0.154140234;0.079072714
8;4;[0.5, 0.5, 0.5, 0.5];1680;1680;0;1680;0;0.196177721;0.093084335
8;4;[0.5, 0.5, 0.5, 0.5];1785;1785;0;1785;0;0.101091623;0.024245501
8;4;[0.5, 0.5, 0.5, 0.5];1866;1866;0;1866;0;0.116105556;0.029025793
8;4;[0.5, 0.5, 0.5, 0.5];1834;1834;0;1834;0;0.210462332;0.082074404
8;4;[0.5, 0.5, 0.5, 0.5];1641;1641;0;1641;0;0.157872915;0.067061901
8;4;[0.5, 0.5, 0.5, 0.5];1632;1632;0;1632;0;0.214194775;0.114103317
8;4;[0.5, 0.5, 0.5, 0.5];1673;1673;0;1673;0;0.1371243;0.057052374
8;4;[0.5, 0.5, 0.5, 0.5];1693;1693;0;1693;0;0.115104437;0.040036678
8;4;[0.5, 0.5, 0.5, 0.5];1895;1895;0;1895;0;0.097088337;0.044040203
8;4;[0.5, 0.5, 0.5, 0.5];1593;1593;0;1593;0;0.206186771;0.096088409
8;4;[0.5, 0.5, 0.5, 0.5];1596;1596;0;1596;0;0.08607769;0.020018816
8;4;[0.5, 0.5, 0.5, 0.5];1863;1863;0;1863;0;0.167151928;0.051047087
8;4;[0.5, 0.5, 0.5, 0.5];1926;1926;0;1926;0;0.140126705;0.057052612
8;4;[0.5, 0.5, 0.5, 0.5];1883;1883;0;1883;0;0.1010921;0.025022268
8;4;[0.5, 0.5, 0.5, 0.5];1778;1778;0;1778;0;0.085076809;0.026023626
8;4;[0.5, 0.5, 0.5, 0.5];1694;1694;0;1694;0;0.156141043;0.074067831
8;4;[0.5, 0.5, 0.5, 0.5];1817;1817;0;1817;0;0.132119656;0.058053017
8;4;[0.5, 0.5, 0.5, 0.5];1731;1731;0;1731;0;0.215196848;0.104094982
8;4;[0.5, 0.5, 0.5, 0.5];1836;1836;0;1836;0;0.150136232;0.05805254
8;4;[0.5, 0.5, 0.5, 0.5];1683;1683;0;1683;0;0.146132708;0.041037321
8;4;[0.5, 0.5, 0.5, 0.5];1754;1754;0;1754;0;0.108099222;0.036032677
8;4;[0.5, 0.5, 0.5, 0.5];1665;1665;0;1665;0;0.110099316;0.031028032
